MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Nova Soure;24136;58,03;0,555;0,548;0,712;0,439;273;9,25;327;3217
Nova Viçosa;38556;73,6;0,654;0,657;0,78;0,546;220;6,25;293;2098
Novo Horizonte;10673;83,97;0,597;0,558;0,757;0,503;114;9,73;164;802
Novo Triunfo;15051;72,33;0,554;0,513;0,769;0,43;123;6,59;131;1180
Olindina;24943;79,41;0,559;0,534;0,81;0,403;214;8,34;229;2227
Oliveira dos Brejinhos;21831;71,32;0,554;0,533;0,747;0,427;270;11,1;313;2595
Ouriçangas;8298;74,64;0,607;0,572;0,779;0,503;80;9,64;136;797
Ourolândia;16425;60,35;0,56;0,547;0,701;0,459;101;6,05;104;1034
Palmas de Monte Alto;20775;59,39;0,586;0,561;0,777;0,462;133;7,76;202;1231
Palmeiras;8410;82,04;0,643;0,608;0,782;0,56;75;9,14;128;728
Paramirim;21001;87,94;0,615;0,604;0,776;0,496;286;10,14;342;1934
Paratinga;29504;59,02;0,59;0,519;0,774;0,51;230;8,05;334;3917
Paripiranga;27778;36,26;0,577;0,567;0,717;0,472;313;9,64;402;2118
Pau Brasil;10852;57,31;0,583;0,58;0,727;0,47;107;8,05;85;954
Paulo Afonso;108396;88,76;0,674;0,678;0,789;0,572;703;7,13;893;6031
Pé de Serra;13752;52,09;0,587;0,558;0,779;0,465;169;9,92;165;1078
Pedrão;6876;44,92;0,588;0,534;0,775;0,49;99;11,43;141;1145
Pedro Alexandre;16995;20,61;0,513;0,489;0,778;0,354;94;5,36;88;1220
Piatã;17982;86,68;0,571;0,543;0,769;0,447;192;10,82;308;2227
Pilão Arcado;32860;36,85;0,506;0,514;0,737;0,343;240;7,3;243;3179
Pindaí;15628;70,43;0,603;0,566;0,777;0,498;142;9,23;212;1428
Pindobaçu;20121;69,85;0,577;0,527;0,757;0,482;176;7,41;197;1636
Pintadas;10342;57,57;0,612;0,572;0,765;0,525;120;9,8;144;604
Piraí do Norte;9799;43,96;0,533;0,546;0,762;0,363;71;5,7;50;650
Piripá;12783;67,35;0,575;0,547;0,768;0,453;130;10,57;156;1680
Piritiba;22399;75,62;0,578;0,566;0,76;0,449;223;9,34;295;1884
Planaltino;8822;33,27;0,572;0,573;0,708;0,462;82;8,95;111;808
